#{"t_start": 1764498493.4834523, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
112.888126,1000,6.203371
70.9893,1000,14.40032
135.351207,1000,22.340467
197.848035,1000,29.76481
183.593124,1000,37.612942
147.333589,1000,45.431921
142.656364,1000,53.150678
221.341697,1000,60.746777
153.647495,1000,68.955987
214.414401,1000,77.098609
271.541363,1000,84.409861
257.7743,1000,91.715832
185.907565,1000,99.787942
213.449795,1000,107.917345
204.432452,1000,116.18699
239.501534,1000,124.269124
187.547185,1000,131.760295
225.455144,1000,139.741969
212.401387,1000,148.252854
208.302375,1000,156.23753
306.83286,1000,163.798087
261.461908,1000,171.893443
327.185902,1000,180.272405
282.088705,1000,188.252915
332.046512,1000,196.09155
416.502299,1000,203.850951
468.288006,1000,211.459696
458.676284,1000,219.602622
453.897448,1000,227.934433
323.706686,1000,235.483829
481.211597,1000,242.848879
557.008443,1000,250.986461
492.402284,1000,259.073339
553.710177,1000,266.611729
484.782591,1000,274.457767
404.81364,1000,282.966964
425.37342,1000,291.178946
597.497705,1000,301.213266
576.991559,1000,310.726776
559.369009,1000,320.027249
481.450323,1000,330.712096
550.086214,1000,340.383003
526.667623,1000,348.027244
539.210556,1000,355.937297
624.587028,1000,364.104935
484.087029,1000,372.414421
489.12071,1000,380.804854
510.208043,1000,388.510016
621.629262,1000,395.987121
584.16812,1000,404.174437
599.011957,1000,412.995443
620.352707,1000,420.888695
610.547573,1000,428.91135
638.139147,1000,437.528886
633.780585,1000,445.632364
602.852789,1000,453.060837
714.524297,1000,460.8579
713.087773,1000,469.082022
709.343967,1000,477.383931
633.744462,1000,485.67109
717.505774,1000,493.43847
729.5967,1000,500.923517
725.981576,1000,508.88128
709.381207,1000,516.960132
709.498077,1000,524.645057
716.816492,1000,532.748678
727.541578,1000,541.58458
702.613599,1000,549.606282
728.864103,1000,557.683752
747.340953,1000,565.577266
742.587048,1000,573.314951
779.299368,1000,581.605616
806.730895,1000,590.086596
774.823,1000,597.620528
814.450365,1000,605.136677
784.482853,1000,613.533549
790.933736,1000,622.188995
793.035353,1000,630.508996
788.778288,1000,638.79696
777.987965,1000,646.222866
791.898531,1000,653.770384
812.25329,1000,661.943461
805.087349,1000,670.364572
827.351548,1000,678.004608
825.365722,1000,686.109439
798.475075,1000,694.329098
837.343915,1000,702.270727
841.986776,1000,710.423896
750.067778,1000,718.393077
812.036906,1000,726.144016
805.122149,1000,734.494876
825.959584,1000,742.749895
654.20723,1000,750.077368
804.059456,1000,757.741212
798.143276,1000,765.976737
758.492449,1000,774.247679
758.047732,1000,781.879192
785.321388,1000,789.734443
776.653796,1000,797.82753
768.253398,1000,805.778946
776.560356,1000,813.941916
797.054234,1000,822.085179
813.759156,1000,829.741229
826.590659,1000,837.790163
835.417833,1000,845.975123
836.642448,1000,853.579934
846.969793,1000,861.026415
836.274823,1000,869.311801
825.047584,1000,877.657652
826.20267,1000,885.886486
781.846096,1000,894.252063
785.539222,1000,901.670235
764.155987,1000,909.110574
794.459944,1000,917.367392
798.887247,1000,925.625813
805.796222,1000,933.258725
811.970185,1000,940.972995
821.054501,1000,949.587781
830.891874,1000,957.440964
828.034038,1000,964.812968
815.967314,1000,972.479432
789.973888,1000,980.83122
728.502204,1000,989.193536
819.156945,1000,997.542322
822.227007,1000,1005.307109
814.775081,1000,1012.938045
783.564009,1000,1020.929955
781.409507,1000,1029.192249
773.788157,1000,1037.162472
776.02962,1000,1044.94944
787.362011,1000,1053.325473
784.64629,1000,1061.306189
809.574505,1000,1069.352787
796.057481,1000,1077.345652
777.371298,1000,1084.99738
796.214287,1000,1092.848044
839.16614,1000,1101.620003
850.106544,1000,1109.447944
776.229855,1000,1116.942008
839.427818,1000,1124.846632
848.267332,1000,1133.124852
765.953788,1000,1141.174432
849.889568,1000,1148.830224
756.46945,1000,1157.172178
780.907151,1000,1165.280827
798.395451,1000,1173.23862
842.806954,1000,1181.196649
807.292034,1000,1188.980109
802.354878,1000,1196.635359
819.458869,1000,1205.119609
844.727362,1000,1213.366638
802.217212,1000,1220.833606
847.203961,1000,1228.31777
810.523594,1000,1236.710044
854.858413,1000,1245.056283
856.262268,1000,1253.481811
844.616925,1000,1261.586194
826.771104,1000,1269.217712
849.309396,1000,1277.107182
854.831615,1000,1285.021638
852.042296,1000,1292.892233
854.763704,1000,1300.556899
851.543716,1000,1308.825896
843.690739,1000,1317.172462
843.234345,1000,1324.945676
845.219507,1000,1332.421136
840.959824,1000,1341.595173
841.30839,1000,1352.096479
836.615652,1000,1362.401836
838.018248,1000,1371.015809
836.171617,1000,1378.429368
842.422105,1000,1386.587268
841.599755,1000,1394.937444
845.455087,1000,1402.643396
848.913771,1000,1410.523041
842.956321,1000,1418.892287
844.994724,1000,1426.839645
844.419368,1000,1434.93001
838.178973,1000,1442.992666
836.569123,1000,1450.706791
846.83625,1000,1458.998089
840.402216,1000,1467.377848
834.130442,1000,1475.090278
830.654197,1000,1482.546648
825.971587,1000,1490.586847
824.848123,1000,1498.788333
828.308801,1000,1506.668504
832.767773,1000,1514.396146
831.58906,1000,1522.940511
811.917461,1000,1531.07176
832.5352,1000,1539.136425
818.683693,1000,1547.130974
847.060756,1000,1554.784001
819.683571,1000,1562.690902
847.903193,1000,1571.312168
815.414308,1000,1579.357331
829.013601,1000,1586.789052
831.168177,1000,1594.636341
813.474582,1000,1602.805273
844.580732,1000,1611.556896
